Original_Kalys_Name;Original_Kalys_Category;Kalys_Price;Matched_Sougui_Name;Matched_Category;Sougui_Reference
Le Set de table NOJA marron;art-de-la-table, accessoires-de-table, les-rangements, rangements;30;Set Gourmet l'éveil céramique Bleu Gris;Service de Table;SGE-002-NA
Le Set de table Noja nature;art-de-la-table, accessoires-de-table, les-rangements, rangements;30;Set Gourmet l'éveil céramique Terracotta;Service de Table;SGE-003-NA
Série de 6 Gobelets Foundouk Vert d'eau;art-de-la-table, assiettes-et-plats, verres-gobelets-et-carafes;87;Set de TABLE « Organica »;Service de Table;SO-001-NA
La table Lyra carré noire;la-touche-deco, mobiliers-et-objets-deco;250;Pack  saint valentin duo envoutant : planche + tasse;Déco;PDE-001-KER
La table Lyra noire;la-touche-deco, mobiliers-et-objets-deco;250;Tortue doré en beton;Déco;TB-002-FP
La table Siena;la-touche-deco, mobiliers-et-objets-deco;240;Transport marchnadise Sfax tunis ( béton);Déco;Transport
Le miroir Alfa Nature;la-touche-deco, mobiliers-et-objets-deco;175;Papier A3 350 G;Déco;Papier A3 350 G
Le miroir Alfa Marron;la-touche-deco, mobiliers-et-objets-deco;175;Pack Andalous en Céramique – Élégance et Tradition;Déco;PAC-001-RL
Le grand miroir Khomsa Rose Pale;la-touche-deco, mobiliers-et-objets-deco;175;Set Calligraphie Arabe – Cruche, Sous-Plat & Planche en Céramique;Déco;SCA-001-RL
Le miroir Khomsa Or Royal;la-touche-deco, mobiliers-et-objets-deco;120;Pack Ottoman en Céramique – Élégance et Artisanat;Déco;POC-001-RL
Le grand miroir OASIS;la-touche-deco, mobiliers-et-objets-deco;220;Set Royal ottomans – Élégance Artisanale (8 Pièces);Déco;SRO-001-RL
Plateau Cuivre Martelé Gold;art-de-la-table, accessoires-de-table, rangements;120;Boudha en béton noir;Service de Table;BB-001-FP
Le Grand miroir poisson;la-touche-deco, mobiliers-et-objets-deco;160;Porte clé Chachia en bois d'olivier;Déco;POB-001-BF
Pouf en mouton;la-touche-deco, mobiliers-et-objets-deco;280;Magnet Fridge en bois d'olivierCollection Émotion – Tasses & Soucoupes Artisanales;Déco; TSC-ART-001
La table Lyra;la-touche-deco, mobiliers-et-objets-deco;250;Couffin artisanal en fibre végétale – Anses cuir & fouta offerte;Déco;COU-CUIR-FOUTA-002
La table Lyra carré;la-touche-deco, mobiliers-et-objets-deco;250;Coffret Flamme d’artisan – Jasmin Noir ou Silex;Déco;CFA-001-SO
Sélection craquelé Miel;art-de-la-table, verres-gobelets-et-carafes;99;Set de TABLE « Organica »;Service de Table;SO-001-NA
Parfum d'ambiance au Musc blanc 150 ml;bougies-et-senteurs, la-touche-deco;27;Set Gourmet l'éveil céramique Terracotta;Esprit Romance;SGE-003-NA
Sélection verre à pied craquelé miel;art-de-la-table, verres-gobelets-et-carafes;185;Set de TABLE « olivéa » en grès ;Service de Table;SOV-001-NA
Sélection verre à pied Turquoise;art-de-la-table, verres-gobelets-et-carafes;185;Set « Séli » en Grès Noirs;Service de Table;SSN-001-2M
Sélection craquelé turquoise;art-de-la-table, verres-gobelets-et-carafes;99;Set « Séa » en Grès Blanc Moucheté;Service de Table;SSB-001-2M
Le miroir Khomsa;la-touche-deco, mobiliers-et-objets-deco;120;Bouteille en Céramique à Motif VISAGE ;Déco;BCL-004-RL
L'assiette P LOTUS Rose Pastel;art-de-la-table, assiettes-et-plats;18;Duo de Bouteilles avec Support « Olivéa » en Grès;Service de Table;DBO-001-2M
L'assiette P LOTUS Vert Pastel;art-de-la-table, assiettes-et-plats;18;Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-001-2M
Le disque Noja bleu d'eau;art-de-la-table, accessoires-de-table, les-rangements, rangements;49;Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique;Service de Table;CGS-002-2M
Bougie EDEN au musc blanc;bougies-et-senteurs, la-touche-deco;68;Carafe et 6 Gobelets « Séa » en Grès – Élégance Naturelle et Authentique;Esprit Romance;CGS-001-2M
Le cube à parfum vert pastel;bougies-et-senteurs, la-touche-deco;30;Carafe et 6 Gobelets « Séli » en Grès – Élégance Naturelle et Authentique;Esprit Romance;CGS-002-2M
Le cube à parfum rose pâle;bougies-et-senteurs, la-touche-deco;30;Boudha en béton noir;Esprit Romance;BB-001-FP
Le cube à parfum beige;bougies-et-senteurs, la-touche-deco;30;Tortue Noir en béton;Esprit Romance;TB-001-FP
